0.51,0.79,0.23,-48,130,-90,0.46,0.85,-0.03,-183,60,-113
0.51,0.79,0.23,-32,149,-10,0.46,0.85,-0.02,-138,78,-83
0.50,0.78,0.23,-25,185,-85,0.47,0.84,-0.03,-162,141,-127
0.51,0.79,0.22,33,76,-41,0.46,0.85,-0.04,-144,30,-200
0.51,0.79,0.23,-11,120,-149,0.46,0.84,-0.04,-227,88,-176
0.51,0.78,0.23,-52,181,-124,0.46,0.85,-0.02,-218,114,-136
0.51,0.79,0.23,12,183,-21,0.47,0.85,-0.02,-141,126,-126
0.50,0.79,0.24,74,112,-138,0.46,0.84,-0.03,-176,79,-243
0.51,0.79,0.24,1,88,-176,0.46,0.85,-0.03,-233,33,-225
0.51,0.79,0.24,-24,117,-129,0.47,0.84,-0.02,-207,64,-176
0.52,0.77,0.24,-203,142,242,0.48,0.83,-0.03,0,-23,216
0.58,0.73,0.28,-1075,-57,1048,0.57,0.79,-0.08,598,-459,1232
0.53,0.77,0.25,-2201,55,3175,0.49,0.84,-0.05,1356,-1152,3351
0.58,0.71,0.27,-2314,238,3275,0.53,0.81,-0.07,1679,-932,3378
0.59,0.71,0.28,-1552,563,2649,0.54,0.80,-0.07,1444,-210,2502
0.60,0.70,0.31,-478,567,1099,0.59,0.77,-0.11,709,323,893
0.60,0.69,0.29,61,180,-124,0.63,0.78,-0.13,-120,189,-268
0.55,0.74,0.28,1331,-399,-2252,0.54,0.80,-0.06,-1544,205,-2595
0.58,0.72,0.30,2861,-96,-5641,0.52,0.79,-0.04,-3152,1470,-5592
0.56,0.74,0.24,3436,226,-5278,0.51,0.87,-0.06,-2828,1739,-5450
0.50,0.82,0.25,3418,251,-4235,0.44,0.85,0.01,-2084,1532,-5020
0.43,0.84,0.19,2952,496,-4388,0.39,0.87,0.01,-2429,1787,-4699
0.41,0.84,0.16,2056,276,-3646,0.37,0.88,0.02,-2136,1219,-3569
0.37,0.86,0.15,992,0,-1554,0.32,0.90,0.07,-991,388,-1736
0.35,0.89,0.14,71,112,-138,0.28,0.90,0.09,-191,134,-273
0.38,0.87,0.16,-776,212,1445,0.31,0.89,0.09,718,-230,1404
0.40,0.88,0.17,-2139,428,3450,0.33,0.90,0.06,1762,-620,3587
0.43,0.83,0.18,-3311,248,4796,0.39,0.86,0.01,2552,-1094,4976
0.49,0.76,0.23,-3954,313,5957,0.45,0.82,-0.02,3056,-1479,6070
0.54,0.77,0.24,-3445,236,5141,0.49,0.86,-0.06,2791,-1328,5171
0.60,0.72,0.30,-2642,268,4329,0.55,0.81,-0.08,2460,-968,4142
0.62,0.64,0.30,-1988,486,3139,0.61,0.74,-0.13,1923,-422,3018
0.64,0.67,0.32,-961,152,1850,0.63,0.75,-0.15,1073,-258,1426
0.65,0.66,0.32,69,41,-244,0.66,0.76,-0.16,-286,27,-366
0.58,0.72,0.29,1864,-345,-3432,0.56,0.79,-0.10,-2294,486,-3605
0.62,0.67,0.33,3600,-171,-6683,0.54,0.76,-0.09,-3600,1756,-6717
0.58,0.70,0.28,3820,332,-5442,0.53,0.84,-0.07,-2873,1925,-5746
0.52,0.79,0.25,3349,497,-4180,0.46,0.84,-0.03,-1992,1687,-4780
0.43,0.87,0.19,2598,658,-3977,0.38,0.87,0.02,-2365,1718,-4177
0.40,0.86,0.18,2437,36,-4185,0.34,0.87,0.04,-2375,1059,-4429
0.38,0.85,0.15,1796,-300,-3049,0.33,0.91,0.05,-1713,617,-3303
0.35,0.88,0.14,883,-396,-1070,0.27,0.89,0.09,-728,-123,-1463
0.36,0.89,0.14,-189,-142,250,0.26,0.91,0.08,58,-256,121
0.40,0.86,0.16,-1379,199,2518,0.29,0.92,0.07,1436,-364,2456
0.42,0.84,0.16,-2627,817,5285,0.31,0.90,0.04,3076,-510,5044
0.47,0.83,0.19,-3604,968,6532,0.41,0.84,-0.03,3756,-777,6336
0.52,0.77,0.22,-3992,506,6080,0.49,0.82,-0.07,3206,-1154,6210
0.59,0.70,0.26,-3732,-3,5186,0.56,0.79,-0.13,2698,-1634,5366
0.63,0.64,0.30,-3009,-256,4394,0.57,0.76,-0.14,2228,-1673,4363
0.66,0.63,0.30,-2055,-163,3595,0.59,0.77,-0.17,1883,-1119,3273
0.72,0.61,0.34,-1433,77,2393,0.65,0.72,-0.18,1179,-700,2327
0.74,0.59,0.36,-885,348,697,0.70,0.70,-0.22,110,-118,1005
0.72,0.60,0.36,49,144,-1116,0.72,0.73,-0.21,-972,153,-761
0.65,0.68,0.33,1899,-173,-3794,0.59,0.78,-0.14,-2681,739,-3754
0.65,0.62,0.32,4001,92,-7395,0.58,0.78,-0.14,-4133,2170,-7398
0.62,0.64,0.30,4310,384,-6098,0.56,0.78,-0.12,-3075,2132,-6600
0.55,0.77,0.26,3647,487,-4787,0.48,0.82,-0.07,-2396,1869,-5348
0.47,0.84,0.18,2908,136,-4673,0.46,0.89,-0.07,-2753,1282,-4843
0.47,0.80,0.22,2294,-82,-4650,0.35,0.85,0.02,-2780,915,-4471
0.40,0.83,0.16,2201,-88,-3353,0.33,0.88,0.03,-1862,839,-3762
0.36,0.88,0.12,928,15,-1719,0.29,0.92,0.04,-1200,380,-1683
0.36,0.90,0.15,-109,-113,-385,0.26,0.88,0.09,-515,-208,-238
0.40,0.85,0.17,-1335,192,2068,0.30,0.92,0.06,821,-526,2229
0.41,0.86,0.17,-2695,524,4461,0.30,0.91,0.04,2372,-750,4552
0.46,0.81,0.19,-3393,577,6054,0.40,0.87,-0.00,3532,-797,5815
0.51,0.76,0.23,-3355,222,5920,0.47,0.82,-0.06,3352,-1112,5573
0.58,0.74,0.25,-3114,137,5266,0.51,0.82,-0.10,2824,-1158,5044
0.63,0.66,0.29,-2992,134,4888,0.55,0.77,-0.15,2609,-1157,4745
0.66,0.63,0.31,-2098,461,3438,0.58,0.75,-0.16,1926,-551,3396
0.69,0.62,0.33,-1046,518,2108,0.64,0.72,-0.19,1166,-74,1878
0.70,0.62,0.33,-97,396,289,0.69,0.73,-0.21,52,202,186
0.66,0.65,0.33,1200,-88,-2207,0.64,0.75,-0.17,-1433,334,-2429
0.64,0.69,0.33,3345,-239,-6067,0.57,0.77,-0.12,-3493,1371,-6281
0.64,0.64,0.30,4068,-32,-7033,0.57,0.77,-0.13,-3768,1783,-7208
0.55,0.75,0.26,3430,-172,-5464,0.49,0.82,-0.07,-2970,1190,-5745
0.48,0.78,0.21,2635,218,-4665,0.39,0.88,-0.03,-2642,1367,-4745
0.46,0.82,0.21,3502,-206,-4385,0.35,0.96,0.02,-1644,1301,-5409
0.45,0.81,0.19,3292,1045,-2518,0.33,0.85,0.01,-506,2197,-3696
0.39,0.90,0.13,354,593,673,0.34,0.84,-0.03,399,349,158
0.45,0.88,0.16,-2225,-12,2713,0.35,0.88,-0.03,860,-1033,3332
0.43,0.86,0.15,-3741,10,4476,0.34,0.90,-0.02,1584,-1597,5397
0.48,0.80,0.21,-4581,-218,4911,0.42,0.84,-0.04,1720,-1784,6012
0.55,0.73,0.25,-4405,-516,4641,0.52,0.83,-0.09,1474,-2077,5560
0.62,0.67,0.28,-3720,-506,4262,0.53,0.83,-0.10,1661,-2036,4874
0.65,0.62,0.31,-2511,-8,4036,0.55,0.80,-0.13,2074,-1120,3933
0.68,0.60,0.34,-1312,546,3169,0.61,0.74,-0.16,1982,-263,2705
0.69,0.62,0.35,-407,615,1711,0.65,0.71,-0.19,1324,285,1265
0.66,0.61,0.33,96,248,275,0.69,0.71,-0.22,124,173,-30
0.60,0.66,0.28,1349,-765,-2423,0.61,0.78,-0.17,-1580,-202,-2902
0.69,0.64,0.36,3079,-757,-6066,0.57,0.71,-0.12,-3276,716,-6327
0.64,0.64,0.27,3502,-11,-6147,0.56,0.81,-0.17,-3349,1586,-6260
0.60,0.74,0.27,3352,-247,-4642,0.52,0.82,-0.11,-2240,978,-5281
0.53,0.79,0.23,2509,115,-4071,0.44,0.84,-0.06,-2212,1020,-4235
0.51,0.80,0.21,1963,208,-3462,0.38,0.86,-0.04,-1860,923,-3473
0.45,0.82,0.16,1343,438,-2349,0.35,0.90,-0.03,-1384,859,-2422
0.45,0.85,0.18,710,230,-1606,0.34,0.88,-0.01,-1059,485,-1410
0.42,0.86,0.15,131,31,-270,0.32,0.91,0.01,-449,-65,-321
0.43,0.84,0.16,-627,98,483,0.34,0.90,-0.00,-77,-174,691
0.47,0.83,0.19,-1460,-10,2139,0.38,0.87,-0.02,906,-792,2383
0.48,0.80,0.19,-2468,-8,3608,0.40,0.90,-0.05,1605,-1116,3820
0.53,0.77,0.24,-2636,-83,4215,0.44,0.85,-0.04,2129,-1282,4189
0.57,0.75,0.25,-2430,257,4151,0.46,0.84,-0.07,2110,-903,4139
0.61,0.70,0.28,-2264,378,4184,0.53,0.81,-0.13,2297,-643,3978
0.66,0.65,0.30,-2385,598,4443,0.56,0.77,-0.14,2341,-602,4376
0.65,0.66,0.28,-1634,663,3398,0.59,0.78,-0.18,1921,-160,3092
0.68,0.62,0.32,-705,209,1749,0.65,0.72,-0.20,1147,-45,1299
0.69,0.61,0.33,-292,210,579,0.66,0.72,-0.21,212,86,375
0.69,0.60,0.32,487,-83,-1037,0.65,0.71,-0.20,-678,25,-1133
0.65,0.64,0.31,1663,-393,-3083,0.59,0.75,-0.17,-1858,333,-3365
0.65,0.67,0.31,2984,-129,-5759,0.57,0.78,-0.15,-3150,1218,-5821
0.64,0.68,0.29,3183,-192,-5739,0.59,0.80,-0.16,-3048,1169,-5807
0.60,0.71,0.27,1947,-514,-3552,0.53,0.78,-0.13,-2068,165,-3606
0.56,0.76,0.23,317,-457,-1695,0.46,0.83,-0.09,-1493,-326,-1397
0.53,0.78,0.22,-147,-494,-923,0.43,0.86,-0.07,-1081,-566,-648
0.52,0.78,0.22,-102,-293,-1003,0.42,0.86,-0.05,-1055,-346,-645
0.52,0.77,0.21,51,-190,-843,0.42,0.88,-0.05,-818,-209,-634
0.51,0.79,0.22,165,-82,-482,0.41,0.87,-0.04,-461,-124,-483
0.50,0.80,0.22,129,156,-250,0.41,0.87,-0.04,-332,63,-239
0.49,0.80,0.21,98,307,-114,0.41,0.87,-0.03,-278,208,-174
0.49,0.81,0.20,168,303,-202,0.41,0.87,-0.04,-278,224,-287
0.48,0.81,0.20,245,223,-234,0.41,0.88,-0.04,-253,155,-327
0.49,0.82,0.20,144,182,-171,0.41,0.86,-0.04,-256,65,-219
0.49,0.81,0.21,-83,270,-30,0.40,0.87,-0.03,-235,115,37
0.48,0.81,0.21,-74,315,107,0.40,0.87,-0.02,-177,168,75
0.49,0.80,0.22,23,286,24,0.42,0.88,-0.03,-136,170,-43
0.49,0.81,0.22,31,263,38,0.42,0.87,-0.04,-114,115,-32
0.49,0.80,0.21,-6,276,76,0.42,0.86,-0.03,-133,68,61
0.50,0.81,0.21,-66,306,34,0.42,0.86,-0.03,-175,114,70
0.49,0.80,0.22,-100,284,43,0.43,0.86,-0.03,-219,165,39
0.49,0.79,0.22,-136,257,30,0.43,0.86,-0.03,-203,110,52
0.50,0.79,0.22,-98,137,28,0.43,0.87,-0.04,-111,4,-4
0.50,0.80,0.22,7,146,6,0.43,0.85,-0.03,-99,27,-92
0.50,0.80,0.21,48,177,-87,0.44,0.86,-0.04,-164,106,-165
0.49,0.80,0.21,11,160,-115,0.44,0.86,-0.03,-247,77,-160
0.50,0.79,0.22,-5,70,-116,0.44,0.86,-0.03,-231,-15,-145
0.50,0.80,0.24,-52,132,-66,0.43,0.86,-0.02,-190,58,-60
0.50,0.79,0.22,26,131,-14,0.44,0.87,-0.03,-114,61,-115
0.50,0.80,0.22,49,43,-71,0.44,0.86,-0.03,-131,-3,-209
0.50,0.80,0.21,8,-29,-118,0.43,0.86,-0.03,-176,-87,-225
0.51,0.79,0.21,15,9,-121,0.43,0.86,-0.03,-193,-26,-205
